gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2008-03-03,2008,61035.5
F,HHS,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,2008-01-23,2008,89952.79
M,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant Supervisor,1990-09-24,1990,78413.21
F,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Assistant Manager,2002-10-08,2002,59315.72
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2000-10-29,2000,56947.99
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016-04-04,2016,39257.31
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000-10-02,2000,24134.31
F,LIB,Department of Public Libraries,Damascus Library,Fulltime-Regular,Librarian II,1989-05-01,1989,100849.36
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2001-03-19,2001,74146.46
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2007-08-20,2007,72967.96
M,COR,Correction and Rehabilitation,DS MCDC Inmate Property,Fulltime-Regular,Correctional Officer III (Corporal),2007-08-06,2007,62903.0
M,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Director Department of Recreation,2007-01-30,2007,184314.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,1999-03-28,1999,89079.0
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2003-03-03,2003,69218.79
M,DTS,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,2016-02-08,2016,95362.44
F,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,2013-08-25,2013,29779.06
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014-09-29,2014,42053.42
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Specialist II,2005-11-14,2005,61917.2
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,1990-02-26,1990,114087.02
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1996-08-19,1996,96763.35
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,1997-09-08,1997,84974.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2016-02-08,2016,56387.0
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2014-03-10,2014,50910.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,2006-04-17,2006,118400.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007-11-26,2007,46626.87
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2006-07-17,2006,72902.0
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,1995-02-06,1995,97392.47
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2012-08-06,2012,37838.46
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Program Manager II,1998-12-01,1998,102664.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,1988-08-15,1988,52416.7
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014-06-02,2014,49831.0
M,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist V,1996-08-26,1996,92202.64
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,2008-03-17,2008,63493.0
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,2009-03-30,2009,51355.84
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,2004-05-03,2004,97074.01
F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,1994-02-23,1994,45151.08
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2011-07-18,2011,65752.0
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,2010-05-10,2010,91139.47
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003-06-23,2003,45049.12
M,DTS,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,1992-08-10,1992,120768.0
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,2013-07-01,2013,66639.25
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2015-03-02,2015,40631.32
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,2006-01-30,2006,76852.0
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,2005-07-18,2005,80561.66
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),1997-06-01,1997,77328.0
M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,2004-02-23,2004,118400.0
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Library Associate II,1992-11-30,1992,87523.22
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,2000-09-11,2000,112266.0
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,2008-03-17,2008,63493.0
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,1993-06-22,1993,70595.53
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2013-07-30,2013,78387.85
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager I,2005-02-22,2005,86721.89
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016-01-04,2016,40631.32
F,DEP,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,2007-03-19,2007,76649.68
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,1996-07-07,1996,70866.46
M,DPS,Department of Permitting Services,Land Development Permit Processing,Parttime-Regular,Office Clerk,2016-08-22,2016,14976.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2015-02-09,2015,61725.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2014-03-10,2014,56990.0
F,HCA,Department of Housing and Community Affairs,Housing,Fulltime-Regular,Office Services Coordinator,1988-06-27,1988,69222.18
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,2014-03-10,2014,50910.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2004-07-19,2004,78096.0
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,2001-04-16,2001,64141.0
M,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff III,2004-07-19,2004,74424.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2013-08-26,2013,49118.0
M,CEX,Offices of the County Executive,Planning Implementation,Fulltime-Regular,Senior Planning Specialist,2007-06-11,2007,102664.0
M,DGS,Department of General Services,ADA Compliance,Fulltime-Regular,Program Specialist II,2003-12-29,2003,72497.95
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,2013-01-14,2013,62678.98
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,1994-06-20,1994,72534.66
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013-08-12,2013,53788.0
F,HHS,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,2012-07-30,2012,46698.0
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2015-08-24,2015,58360.55
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2008-02-19,2008,61035.5
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Community Outreach Manager,2014-04-06,2014,100908.32
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Office Services Coordinator,2012-08-13,2012,48593.64
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2004-07-19,2004,78096.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,1988-10-31,1988,63067.93
M,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Investigator III,2000-11-20,2000,92229.93
F,POL,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,1997-09-15,1997,65486.66
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2012-08-06,2012,88700.01
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015-04-07,2015,35552.39
M,DLC,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,2012-05-20,2012,29779.07
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2000-10-15,2000,53034.52
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,2004-04-19,2004,97912.0
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007-06-11,2007,70435.0
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016-07-11,2016,50211.0
F,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Supervisor,1986-09-18,1986,95263.92
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Principal Administrative Aide,2007-01-08,2007,44853.06
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1998-04-19,1998,64141.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,2000-11-13,2000,76139.65
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1991-03-04,1991,96763.35
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2015-08-10,2015,44727.53
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,2005-09-25,2005,39262.4
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Senior Permitting Services Specialist,2013-04-22,2013,95414.08
F,DOT,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,1979-03-19,1979,105743.92
M,DLC,Department of Liquor Control,Goshen Crossing,Fulltime-Regular,Liquor Store Assistant Manager,2002-09-24,2002,62279.48
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1995-11-27,1995,66065.23
M,DEP,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Program Manager II,2000-02-07,2000,102664.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,2007-04-16,2007,54605.45
M,DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Construction Representative III,2013-01-14,2013,82632.68
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,1985-09-23,1985,97392.47
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2008-02-19,2008,66971.24
M,HCA,Department of Housing and Community Affairs,Community Development,Fulltime-Regular,Manager II,1996-11-04,1996,147847.62
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2007-03-19,2007,69790.0
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),2012-01-03,2012,60402.79
M,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Captain,1989-08-07,1989,155693.29
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Fire/Rescue Lieutenant,1992-06-15,1992,101176.43
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker IV,1999-02-01,1999,102664.0
F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,2014-04-07,2014,71429.48
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2014-12-22,2014,42053.42
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,2010-02-14,2010,35411.29
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2007-07-23,2007,62903.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,1988-07-05,1988,47863.07
F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Fulltime-Regular,Public Information Officer II,1990-08-27,1990,104717.28
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2003-12-01,2003,80378.16
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,2001-11-06,2001,53932.54
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,2001-09-04,2001,99597.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006-07-10,2006,50699.16
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015-06-22,2015,40631.32
