Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents,,,,,,,,,,,,,,
Janssen,59676003056,BALVERSA Erdafitinib 3mg 56 tablets,2019-04-15,15120,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 3mg 56 tablets at $15,120.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis.  Balversa was developed by Janssen.",,,,,,,,,,,,,,,
Janssen,59676003084,BALVERSA Erdafitinib 3mg 84 tablets,2019-04-15,22680,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 3mg 84 tablets at $22,680.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",,,,,,,,,,,,,,,
Janssen,59676004028,BALVERSA Erdafitinib  4mg 28 tablets,2019-04-15,10080,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 4mg 28 tablets at $10,080.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",,,,,,,,,,,,,,,
Janssen,59676004056,BALVERSA Erdafitinib 4mg 56 tablets,2019-04-15,20160,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 4mg 56 tablets at $20,160.00.   The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",,,,,,,,,,,,,,,
Janssen,59676005028,BALVERSA  Erdafitinib 5mg 28 tablets,2019-04-15,12600,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 5mg 28 tablets at $12,600.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93526398,SOLIFENACIN SUCCINATE TABLETS 5MG 90,2019-04-22,999.24,,1,80000,,,,,,,"Estimated patient volume of approximately 80,000 patients per month for 5mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93526498,SOLIFENACIN SUCCINATE TABLETS 10MG 90,2019-04-22,999.24,,1,86000,,,,,,,"Estimated patient volume of approximately 86,000 patients per month for 10mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93766356,ERLOTINIB HCL TABLETS EQ 100MG 30,2019-05-09,6455.82,,1,660,,,,,,,"Estimated patient volume of approximately 660 patients per month for 100mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93765256,VARDENAFIL HCL TABLETS 2.5MG 30,2019-01-03,704.59,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93765356,VARDENAFIL HCL TABLETS 5MG 30,2019-01-03,704.59,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93765456,VARDENAFIL HCL TABLETS 10MG 30,2019-01-03,704.59,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93765556,VARDENAFIL HCL TABLETS 20MG 30,2019-01-03,704.59,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591385101,VIGABATRIN 500MG TABLETS 100,2019-02-06,11487.3,,1,5000,,1,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Estimated count of approximately 5,000 patients per year.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,45963045430,DEFERASIROX 125MG TABLETS 30,2019-03-22,750.99,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,45963045530,DEFERASIROX 250MG TABLETS 30,2019-03-22,1501.95,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,45963045630,DEFERASIROX 500MG TABLETS 30,2019-03-22,3003.84,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591240530,AMBRISENTAN 5MG FC TABLETS 30,2019-04-30,2766.81,,1,650,,1,,,,,"Estimated patient volume of approximately 650 patients per month for 5mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591240630,AMBRISENTAN 10MG FC TABLETS 30,2019-04-30,2766.81,,1,1600,,1,,,,,"Estimated patient volume of approximately 1,600 patients per month for 10mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93766456,ERLOTINIB HCL TABLETS EQ 150MG 30,2019-05-09,7302.01,,1,1120,,,,,,,"Estimated patient volume of approximately 1,120 patients per month for 150mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,45963041850,RANOLAZINE 500MG ER TABLETS 500,2019-05-28,711.25,,1,145000,,,,,,,"Approximately 145,000 total prescriptions per month, based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,45963041950,RANOLAZINE 1000MG ER TABLETS 500,2019-05-28,1167.75,,1,145000,,,,,,,"Approximately 145,000 total prescriptions per month, based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591251160,BOSENTAN 62.5MG FC TABLETS 60,2019-06-20,1326,,1,375,,1,,,,,"Average of approximately 375 total prescriptions per month (both dosages), based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591251260,BOSENTAN 125MG FC TABLETS 60,2019-06-20,1326,,1,375,,1,,,,,"Average of approximately 375 total prescriptions per month (both dosages), based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591417101,PENCILLAMINE 250MG CAPSULES 100,2019-06-24,22626.99,,1,310,,1,,,,,"Average of approximately 310 prescriptions per month, based on IQVIA data.   Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93306634,ICATIBANT ACETATE 10MG/ML PFS SOL 3ML 1,2019-07-15,5083.26,,1,720,,,,,,,"Average of approximately 720 total prescriptions per month (both pack sizes), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,93306693,ICATIBANT ACETATE 10MG/ML PFS SOL 3ML 3,2019-07-15,15249.78,,1,720,,,,,,,"Average of approximately 720 total prescriptions per month (both pack sizes), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591455022,DOXYCYCLINE HYCLATE DR TABLET 50MG 120,2019-08-14,1134.6,,1,270,,,,,,,"Average of approximately 270 total prescriptions per month (both dosages), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",,,,,,,,,,,,,,,
Teva Pharmaceuticals USA,591457560,DOXYCYCLINE HYCLATE DR TABLET 200MG 60,2019-08-14,2100.51,,1,270,,,,,,,"Average of approximately 270 total prescriptions per month (both dosages), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.  Note that although Teva's WAC on NDC 00591457560 was $2,100.51 at launch, Teva subsequently lowered the price, one week later (on August 21, 2019), to $1,500.37.  See supporting documents:  (1) Teva's original communication to customers and the compendia, sent on Aug. 14, announcing WAC on NDC 00591457560 at $2,100.51, and (2) Teva's follow-on communication to customers and compendia, sent on Aug. 21, noting an updated WAC on NDC 00591457560 of $1,500.37 (backdated to August 14).",https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/Q3-New-Drug-Public-Release-Supporting-Documents/Teva/2019-08-14-Doxy-Hyclate-DR-New-Product-Notification.pdf,,,,,,,,,,,,,,
